source_row,weapon,expanded_perks,notes,raw_perk_columns_json,parsed_perk_columns_json
1,毫不迟疑,全口径枪膛 / 精确弹药 / 医治 / 混沌重塑,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
1,毫不迟疑,全口径枪膛 / 精确弹药 / 医治 / 羸弱能量球,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
1,毫不迟疑,全口径枪膛 / 精确弹药 / 医治 / 辉耀炽热,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
1,毫不迟疑,全口径枪膛 / 精确弹药 / 燃烧野心 / 混沌重塑,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
1,毫不迟疑,全口径枪膛 / 精确弹药 / 燃烧野心 / 羸弱能量球,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
1,毫不迟疑,全口径枪膛 / 精确弹药 / 燃烧野心 / 辉耀炽热,Tier S | Rank 1 | 任意职业都能按需生存，仁善协同,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n燃烧野心"", ""Perk 2"": ""混沌重塑\n羸弱能量球\n辉耀炽热""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""燃烧野心""], ""Perk 2"": [""混沌重塑"", ""羸弱能量球"", ""辉耀炽热""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 医治 / 互惠,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 医治 / 武器大师,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 医治 / 转向,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 羸弱能量球 / 互惠,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 羸弱能量球 / 武器大师,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 羸弱能量球 / 转向,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 结晶残花 / 互惠,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 结晶残花 / 武器大师,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
2,迪凯特02,全口径枪膛 / 精确弹药 / 结晶残花 / 转向,Tier S | Rank 2 | 寒霜护甲不如恢复，但perk分布不错,"{""Perk"": ""全口径枪膛"", ""Perk__2"": ""精确弹药"", ""Perk 1"": ""医治\n羸弱能量球\n结晶残花"", ""Perk 2"": ""互惠\n武器大师\n转向""}","{""Perk"": [""全口径枪膛""], ""Perk__2"": [""精确弹药""], ""Perk 1"": [""医治"", ""羸弱能量球"", ""结晶残花""], ""Perk 2"": [""互惠"", ""武器大师"", ""转向""]}"
